cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode,n_genes,n_counts
C10.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,2842,412218.0
C10.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4168,1122011.0
C10.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,2982,804457.0
C10.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3549,1572944.0
C10.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1674,187968.0
C11.B003275.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B003275,4009,1714014.0
C11.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553,4473,1512299.0
C11.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2484,875032.0
C11.MAA000638.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000638,865,545821.0
C11.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4015,1148521.0
C11.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,3875,667077.0
C11.MAA001894.3_39_F.1.1,neuron,Cortex,F,3_39_F,MAA001894,3387,258228.0
C12.B003275.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B003275,1900,649057.0
C12.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1706,397859.0
C12.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553,2325,467607.0
C12.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,3297,1156741.0
C12.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561,5773,2562695.0
C12.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,923,137633.0
C12.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,3047,2429286.0
C12.MAA000641.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000641,2271,1980175.0
C12.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3349,678132.0
C12.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3238,658502.0
C12.MAA000942.3_8_M.1.1,astrocyte,Striatum,M,3_8_M,MAA000942,2439,121008.0
C12.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,2785,1777948.0
C12.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,1948,98536.0
C13.B000621.3_56_F.1.1,astrocyte,Hippocampus,F,3_56_F,B000621,2899,818362.0
C13.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2335,715169.0
C13.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,3285,971992.0
C13.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3078,258080.0
C13.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563,2996,226313.0
C13.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,4908,851591.0
C13.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,1847,260917.0
C13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615,2869,1592695.0
C13.MAA000638.3_9_M.1.1,neuron,Cerebellum,M,3_9_M,MAA000638,1378,308026.0
C13.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3332,672097.0
C13.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,2657,385475.0
C13.MAA000935.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000935,1984,341720.0
C13.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,2774,289682.0
C13.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3024,1930181.0
C13.MAA001894.3_39_F.1.1,astrocyte,Cortex,F,3_39_F,MAA001894,2319,180795.0
C14.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621,2759,1011127.0
C14.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2002,276213.0
C14.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2736,507143.0
C14.MAA000563.3_10_M.1.1,astrocyte,Hippocampus,M,3_10_M,MAA000563,2993,151878.0
C14.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615,3100,1803303.0
C14.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,2335,383690.0
C14.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894,2921,314398.0
C15.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,1545,518400.0
C15.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,2079,599871.0
C15.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,3034,627444.0
C15.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581,4282,658572.0
C15.MAA000638.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000638,1063,550751.0
C15.MAA000641.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000641,2296,1139496.0
C15.MAA000926.3_9_M.1.1,brain pericyte,Cortex,M,3_9_M,MAA000926,3267,464111.0
C15.MAA000935.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000935,4135,1047199.0
C15.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3006,275366.0
C15.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,4323,1983078.0
C15.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2082,94963.0
C16.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,3207,762145.0
C16.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,4029,1383140.0
C16.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2445,1052724.0
C16.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,2817,436905.0
C16.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,2931,856665.0
C16.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942,5521,175569.0
C16.MAA000944.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000944,3279,1993433.0
C16.MAA000947.3_9_M.1.1,endothelial cell,Hippocampus,M,3_9_M,MAA000947,3854,3182461.0
C16.MAA001853.3_38_F.1.1,neuron,Cerebellum,F,3_38_F,MAA001853,4738,711836.0
C16.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,3476,196011.0
C17.B003275.3_38_F.1.1,neuron,Hippocampus,F,3_38_F,B003275,2861,888855.0
C17.B003290.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003290,3408,1408098.0
C17.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561,3345,1811460.0
C17.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581,2999,1827403.0
C17.MAA000638.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000638,1725,62098.0
C17.MAA000641.3_9_M.1.1,oligodendrocyte precursor cell,Cerebellum,M,3_9_M,MAA000641,3015,1181496.0
C17.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,3141,673844.0
C17.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3626,628153.0
C17.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,2442,387220.0
C17.MAA000940.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000940,2913,693198.0
C17.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,2651,254912.0
C17.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,2130,1580292.0
C18.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621,3425,870507.0
C18.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2623,843365.0
C18.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561,4572,1160707.0
C18.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,2644,398560.0
C18.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2140,2240339.0
C18.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,2842,448451.0
C18.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,2805,349647.0
C18.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3971,431021.0
C18.MAA000940.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000940,3631,170627.0
C18.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941,2677,229737.0
C18.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942,6578,429760.0
C18.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,5071,1923996.0
C18.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_9_M,MAA000947,4223,765071.0
C18.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,2706,136863.0
C19.B003728.3_56_F.1.1,astrocyte,Striatum,F,3_56_F,B003728,3114,3892396.0
C19.MAA000553.3_10_M.1.1,astrocyte,Hippocampus,M,3_10_M,MAA000553,3185,586546.0
C19.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3195,916536.0
C19.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561,3625,1708533.0
C19.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564,3493,381211.0
C19.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2044,2000742.0
C19.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3085,257944.0
C19.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_11_M,MAA000932,4217,784572.0
C19.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,4127,147503.0
C19.MAA000941.3_8_M.1.1,brain pericyte,Hippocampus,M,3_8_M,MAA000941,3256,350047.0
C19.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3124,1858030.0
C19.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947,4047,4074646.0
C19.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,2325,87147.0
C2.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3716,1301735.0
C2.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564,4498,481602.0
C2.MAA000932.3_11_M.1.1,brain pericyte,Hippocampus,M,3_11_M,MAA000932,2706,619626.0
C2.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,3910,1365751.0
C2.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,1395,1388814.0
C2.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894,3152,365187.0
C20.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3237,1020756.0
C20.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581,2764,2136647.0
C20.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,7387,266021.0
C20.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941,2530,181548.0
C20.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,1740,59344.0
C21.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,1681,588393.0
C21.MAA000424.3_11_M.1.1,endothelial cell,Cerebellum,M,3_11_M,MAA000424,3340,1487481.0
