cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode,n_genes,n_counts
C8.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,5285,2176379.0
C8.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,1739,579160.0
C8.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3003,424581.0
C8.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,2270,410741.0
C8.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3290,1811832.0
C8.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1712,206220.0
C8.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894,2865,186602.0
C9.B003728.3_56_F.1.1,astrocyte,Striatum,F,3_56_F,B003728,2730,1573366.0
C9.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3935,1786194.0
C9.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,3462,2148230.0
C9.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,2901,778577.0
